"","RELIABILITY_TXT","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","LATITUDEDD_NUM","LONGITUDEDD_NUM"
"1","High reliability","Elliott trap","Captured and released","place",2149.49733,"road",0.003970446,"Y","N","N","Y",191.800003051758,0.215100005269051,45,136,118,19,2.28559994697571,0.0299999993294477,0,1.76559710502625,252.571792602539,16.5268001556396,91.7275009155273,74.0703964233398,6,13.292200088501,-38.35692,144.97151
"2","High reliability","Elliott trap","Captured and released","mountain",1538.371115,"road",0.002777363,"Y","N","N","Y",179.199996948242,0.504100024700165,45,136,118,20,2.25629997253418,0.0324000008404255,0,1.76559710502625,253.360702514648,15.8145999908447,92.1883010864258,72.0103988647461,6,13.9223003387451,-38.35598,144.96925
"3","High reliability","Elliott trap","Captured and released","mountain",1538.371115,"road",0.002777363,"Y","N","N","Y",179.199996948242,0.504100024700165,45,136,118,20,2.25629997253418,0.0324000008404255,0,1.76559710502625,253.360702514648,15.8145999908447,92.1883010864258,72.0103988647461,6,13.9223003387451,-38.35598,144.96925
"4","High reliability","General observations","Captured and released","mountain",3346.015869,"road",0.017362592,"Y","Y","Y","N",484.200012207031,-4.79530000686646,53,6,100,3,2.42910003662109,0.0772999972105026,0.436170160770416,14.1722545623779,292.959014892578,1.34510004520416,63.7431983947754,38.6006011962891,3,10.5415000915527,-37.28102,143.07973
"9","High reliability","Elliott trap","Captured and released","place",3566.907169,"watercourse_stream",7.26e-05,"Y","Y","N","Y",80.4000015258789,0.0249000005424023,17,92,106,17,1.80250000953674,0.0157999992370606,0.56060653924942,10.0280809402466,301.486907958984,18.7458000183106,85.4654998779297,43.9492988586426,112,16.7465000152588,-37.68834,145.52175
"10","High reliability","Elliott trap","Captured and released","place",3566.907169,"watercourse_stream",7.26e-05,"Y","Y","N","Y",80.4000015258789,0.0249000005424023,17,92,106,17,1.80250000953674,0.0157999992370606,0.56060653924942,10.0280809402466,301.486907958984,18.7458000183106,85.4654998779297,43.9492988586426,112,16.7465000152588,-37.68834,145.52175
"11","High reliability","Cage trap","Captured and released","place",2154.248686,"road",0.000922869,"Y","N","N","Y",161.199996948242,0.936800003051758,40,30,124,12,2.18790006637573,0.0593999996781349,0.220982477068901,9.39584064483643,284.329193115234,25.8278007507324,77.848503112793,51.2639999389648,12,13.78600025177,-37.95565,145.49364
"13","High reliability","General observations","Observation","place",5863.505116,"road",0.00069661,"Y","N","N","N",331.200012207031,0.0212999992072582,40,30,102,112,2.47320008277893,0.063900001347065,1.0025931596756,9.58564281463623,294.272399902344,15.6180000305176,73.0670013427734,45.8140983581543,112,17.5592002868652,-37.36868,145.27735
"15","High reliability","Elliott trap","Captured and released","place",15130.87342,"watercourse_river",0.021600768,"Y","Y","Y","N",1355.19995117188,-0.556100010871887,25,125,111,11,3.12529993057251,0.00650000013411045,1.76043093204498,13.0464878082275,224.748504638672,50.0318984985352,20.5412006378174,172.134201049805,11,11.3526000976563,-37.06096,146.74537
"16","High reliability","General observations","Observation","place",5863.505116,"road",0.00069661,"Y","N","N","N",331.200012207031,0.0212999992072582,40,30,102,112,2.47320008277893,0.063900001347065,1.0025931596756,9.58564281463623,294.272399902344,15.6180000305176,73.0670013427734,45.8140983581543,112,17.5592002868652,-37.36868,145.27735
