"","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","forest","public_land","X75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","Reliability"
"1","Timed bird census","Seen","airport",7903.575658,"watercourse_stream",0.013117577,"N","N",424.399993896484,0.131699994206428,38,91,80,8,2.5032000541687,0.0485000014305115,1.4357932806015,11.9155912399292,298.376586914062,-1.29550004005432,60.2647018432617,44.9695014953613,8,14.4368000030518,"high reliability"
"2","General observations","Observation","airport",6557.70938,"road",0.004254972,"Y","Y",161.679992675781,0.00920000020414591,15,90,91,18,2.02649998664856,0.00310000008903444,2.73198437690735,13.9347915649414,323.736785888672,-1.19420003890991,72.4720001220703,26.3770999908447,8,15.4060001373291,"low reliability"
"3","General observations","Observation","airport",6040.555992,"watercourse_stream",0.027069042,"N","N",169.600006103516,-0.00310000008903444,15,90,140,16,2.09409999847412,0.0137999998405576,0.010736633092165,0.854737341403961,338.444213867187,-4.11210012435913,71.1120986938477,29.8878993988037,108,15.688099861145,"low reliability"
"4","General observations","Observation","airport",5547.672906,"road",0.00062664,"N","N",116.400001525879,0.595399975776672,53,6,123,12,1.85860002040863,0.0694999992847443,0.757691860198975,9.99271583557129,290.888885498047,2.10419988632202,71.8970031738281,1.23979997634888,12,12.664999961853,"low reliability"
"5","General observations","Seen","place",7167.892172,"watercourse_river",0.000243783,"Y","N",96.1999969482422,-0.0031999999191612,60,4,83,20,1.37510001659393,0.00469999993219972,1.6502525806427,15.3689374923706,347.077087402344,-16.0771007537842,70.0771026611328,-2.07710003852844,103,15.7615003585815,"high reliability"
"6","General observations","Observation","place",8760.06161,"watercourse_river",0.005624984,"Y","N",157.199996948242,0.0148000000044704,15,90,101,18,1.27190005779266,0.0116999996826053,0.420063555240631,11.4725608825684,327.697204589844,-15.6112003326416,74.9641036987305,18.3027992248535,103,15.2693996429443,"high reliability"
"7","General observations","Seen","place",5082.673384,"state_border",0.013266191,"Y","Y",62.4000015258789,0,9,8,39,4,1.42400002479553,0.010499999858439,0.554094910621643,4.51356887817383,351.693695068359,-10.693699836731,71.6937026977539,-6.69369983673096,4,16.2224006652832,"low reliability"
"8","General observations","Observation","place",8140.391716,"road",0.004874615,"Y","Y",205.800003051758,-0.0197000000625849,15,90,81,8,2.12969994544983,0.00989999994635582,1.317049741745,14.4616718292236,326.711791992187,-2.41639995574951,68.1812973022461,19.1201992034912,8,16.4747009277344,"low reliability"
"9","General observations","Seen","place",3155.26283,"watercourse_river",0.012483895,"Y","N",248,-0.00109999999403954,32,120,119,103,2.29329991340637,0.0031999999191612,1.03771555423737,11.0002145767212,274.455688476562,7.18839979171753,71.4557037353516,15.5089998245239,103,14.2222003936768,"high reliability"
"10","General observations","Observation","rail_station",3555.828142,"road",0.0096354,"N","N",116.199996948242,-0.00130000000353903,15,113,140,19,1.74849998950958,0.00329999998211861,1.72452998161316,16.718620300293,338.972808837891,-9.97280025482178,71.9728012084961,9.02719974517822,103,16.4552993774414,"high reliability"
"11","General observations","Observation","airport",16245.33018,"road",0.007144665,"Y","Y",60.8956985473633,-0.00279999990016222,29,11,45,18,1.11580002307892,0.0019000000320375,0.661301851272583,5.6693959236145,344.754302978516,-10.5970001220703,69.5970001220703,-3.59699988365173,4,16.3274993896484,"low reliability"
"12","Timed bird census","Observation","place",7427.83675,"watercourse_river",0.004808561,"N","N",142.326293945313,-0.00889999978244305,65,14,82,16,2.01110005378723,0.00689999992027879,1.38661992549896,17.4071941375732,350.091796875,-8.09179973602295,69.091796875,10.460599899292,103,16.2686996459961,"high reliability"
"13","General observations","Observation","airport",6847.84795,"railway",0.00721618,"Y","Y",255,-0.00240000011399388,35,121,96,3,1.97200000286102,0.0167999994009733,0.216190993785858,10.999418258667,313.390197753906,-7.7726001739502,71.0099029541016,31.0571994781494,3,14.1899995803833,"low reliability"
"14","General observations","Observation","place",8859.152812,"watercourse_river",9.52e-05,"Y","Y",140.99560546875,0.0474999994039536,15,90,82,103,2.01570010185242,0.0130000002682209,1.74370288848877,17.412935256958,350.846710205078,-5.19820022583008,69.1981964111328,14.7974996566772,103,15.7620000839233,"high reliability"
"15","Bird count","Seen","mountain",3074.278027,"watercourse_stream",0.015746855,"Y","Y",193.800003051758,-0.0342000015079975,48,48,94,18,1.94739997386932,0.0217000003904104,1.10133802890778,9.7186861038208,331.413391113281,-9.4133996963501,66.4133987426758,11.5866003036499,103,17.4801998138428,"high reliability"
"16","Incidental","Seen","place",5257.168696,"watercourse_river",0.000410608,"N","N",125.084999084473,-0.00329999998211861,15,90,140,103,1.82690000534058,0.00249999994412065,1.71483051776886,16.8243064880371,334.248992919922,-7.24900007247925,69.2489013671875,15.7510004043579,103,15.6274995803833,"high reliability"
"17","General observations","Observation","place",2953.90883,"watercourse_river",0.000523371,"N","N",96.4000015258789,0,60,4,83,18,1.48329997062683,0.0019000000320375,1.02959048748016,14.0486478805542,349.356597900391,-17.3565998077393,71.3522033691406,-5.35659980773926,103,16.328800201416,"high reliability"
