"","RELIABILITY_TXT","SAMPLING_METHOD_DESC","Point","Point_Distance","Line","Line_Distance","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","log","lan"
"1","high reliability","Quadrat","place",3257.793357,"road",0.002312709,"N","Y","N","Y",3.59999990463257,-0.0007999999797903,16,95,122,2,0.824699997901917,0.00219999998807907,0,1.76559710502625,271.839996337891,22.1599006652832,68.8401031494141,15.1597995758057,2,18.5932006835937,147.55722,-38.06222
"2","high reliability","Quadrat","place",3196.403849,"road",0.005927039,"Y","Y","N","Y",1.20000004768372,0.00219999998807907,16,95,122,102,0.634800016880035,0.00400000018998981,0,1.76559710502625,271.829498291016,22.1704998016357,68.8294982910156,15.1704998016357,102,18.6037998199463,147.55528,-38.05917
"3","high reliability","Quadrat","place",4276.695672,"road",0.016007578,"Y","Y","N","Y",10,0.00340000004507601,16,95,122,2,1.11520004272461,0.00279999990016222,0,1.76559710502625,269.329406738281,19.5958003997803,67.3293991088867,14.670599937439,2,17.3640995025635,147.4225,-38.15
"4","high reliability","Quadrat","place",5959.68152,"road",0.006112888,"Y","Y","N","Y",6,-0.000699999975040555,16,95,122,2,0.943700015544891,0.010499999858439,0,1.76559710502625,270.538909912109,22.4009990692139,67.5389022827148,15.4610996246338,2,18.3663005828857,147.53083,-38.075
"5","low reliability","Species List for Defined Area","place",6017.17304,"watercourse_channel",0.003586745,"Y","N","N","N",442,-0.292899996042252,64,102,139,106,2.46020007133484,0.0414999984204769,0.202811881899834,10.8157081604004,298.921295166016,2.72149991989136,60.2522010803223,69.1325988769531,106,16.4990005493164,142.37806,-37.03861
"6","high reliability","Quadrat","airport",7574.976816,"watercourse_stream",0.037606959,"Y","Y","N","Y",32.7999992370605,-0.0162000004202127,16,95,122,6,1.54349994659424,0.00910000037401915,0,1.76559710502625,268.98388671875,14.0160999298096,67.9839019775391,13.0160999298096,6,15.7207002639771,147.2089,-38.2469
"7","high reliability","Quadrat","mountain",3273.356637,"watercourse_stream",0.015326234,"Y","Y","N","N",213.399993896484,-0.247400000691414,35,141,112,17,1.93089997768402,0.0293000005185604,0.755224168300629,10.2994012832642,302.905914306641,-10.4273996353149,78.1330032348633,33.3624992370605,3,15.0078001022339,141.93557,-37.48465
"8","high reliability","Quadrat","place",7781.768175,"road",0.015884779,"Y","N","N","N",626.799987792969,0.00310000008903444,19,100,105,16,2.75300002098083,0.00600000005215406,0.468086928129196,11.9575815200806,276.443908691406,8.65610027313232,58.3438987731934,53.6671981811523,12,14.7912998199463,144.64453,-37.28368
"9","high reliability","Specimen","place",17251.64095,"state_border",0.043910621,"Y","Y","N","N",124.599998474121,0.0141000002622604,30,112,84,5,1.58060002326965,0.00460000010207295,0.419526278972626,4.58766078948975,317.661712646484,-4.68680000305176,65.9063034057617,34.3132019042969,5,15.7426996231079,141.0125,-36.530694
"10","high reliability","Quadrat","place",6969.01601,"road",0.008015054,"Y","Y","N","N",111,-0.0280000008642673,20,139,127,106,2.01559996604919,0.0109999999403954,0,1.76559710502625,254.634796142578,5.25549983978272,79.744499206543,85.1968994140625,106,17.5053997039795,141.2903,-38.15514
