temp_id,LATITUDEDD_NUM,LONGITUDEDD_NUM,bay,bua,forest,island,island_marine,lga,locality,mainland,named_natural_region,postcode,public_land,ridge,sea,vicgov_region,wb_lake,wb_lake_salt,wetland_swamp
1,-37.00972,142.72417,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
2,-38.06222,147.55722,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3,-38.05917,147.55528,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
4,-38.15,147.4225,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
5,-38.075,147.53083,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
6,-37.03861,142.37806,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
7,-37.22267,144.04555,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
8,-36.9404,145.1478,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
9,-36.50235,145.77686,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
10,-38.31185,144.14823,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
11,-38.35692,144.97151,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
12,-38.35692,144.97151,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
13,-38.35692,144.97151,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
14,-38.35598,144.96925,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
15,-38.35598,144.96925,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
16,-38.35598,144.96925,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
17,-37.28102,143.07973,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N
18,-37.68834,145.52175,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
19,-37.68834,145.52175,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
20,-37.68834,145.52175,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
21,-37.68834,145.52175,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
22,-37.68834,145.52175,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
23,-37.68834,145.52175,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
24,-37.64424,144.50827,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
25,-36.1006,144.84116,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
26,-38.64496,146.57209,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y
