"","Reliability","SAMPLING_METHOD_DESC","Point","Point_Distance","Line","Line_Distance","forest","named_natural_region","postcode","public_land","vicgov_region","X75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif"
"1","high reliability","Bird transect","place",14300.75718,"road",0.013815659,"N","N","Y","N","N",65.5999984741211,0.0015999999595806,29,11,42,18,1.51530003547669,0.00510000018402934,0.678628921508789,5.1225643157959,347.025299072266,-14.0253000259399,69.0252990722656,-4.02530002593994,4,16.6695003509521
"2","high reliability","Bird transect","place",14300.75718,"road",0.013815659,"N","N","Y","N","N",65.5999984741211,0.0015999999595806,29,11,42,18,1.51530003547669,0.00510000018402934,0.678628921508789,5.1225643157959,347.025299072266,-14.0253000259399,69.0252990722656,-4.02530002593994,4,16.6695003509521
"3","high reliability","Bird transect","place",14300.75718,"road",0.013815659,"N","N","Y","N","N",65.5999984741211,0.0015999999595806,29,11,42,18,1.51530003547669,0.00510000018402934,0.678628921508789,5.1225643157959,347.025299072266,-14.0253000259399,69.0252990722656,-4.02530002593994,4,16.6695003509521
"4","high reliability","Incidental","place",15086.63619,"road",0.011746946,"Y","N","Y","Y","N",79.1999969482422,-0.00789999961853027,56,46,42,18,1.65929996967316,0.00779999978840351,0.562338471412659,4.76498937606812,344.550506591797,-12.5506000518799,67.1778030395508,-1.55060005187988,4,15.4324998855591
"5","high reliability","Incidental","place",16799.83107,"road",0.152429203,"N","N","Y","N","N",50.2000007629395,0.0225000008940697,29,11,42,4,1.16970002651215,0.0059000002220273,0.976381421089172,6.49363422393799,344.637084960937,-11.6371002197266,68.6371002197266,-2.63319993019104,4,15.9464998245239
"6","low reliability","Timed bird census","rail_station",7058.868798,"road",0.004372787,"Y","N","Y","Y","Y",332.799987792969,-0.807200014591217,63,65,124,6,2.50950002670288,0.0810000002384186,0.28049573302269,12.9610948562622,268.523101806641,40.3462982177734,66.8302001953125,83.6713027954102,6,10.392499923706
"7","high reliability","Incidental","place",4947.558249,"watercourse_stream",0.000603267,"Y","N","Y","Y","N",144.600006103516,-0.8682000041008,53,6,130,106,2.10139989852905,0.120300002396107,0,1.76559710502625,262.75048828125,1.99820005893707,86.2594985961914,43.5401000976563,106,13.7451000213623
"8","high reliability","Incidental","place",19280.27603,"watercourse_channel",0.110307799,"Y","Y","Y","Y","N",74,-0.0164000000804663,71,51,48,5,1.27980005741119,0.0059000002220273,0.502703607082367,3.73313164710998,334.500305175781,-8.50030040740967,64.6146011352539,4.38560009002685,5,15.8867998123169
"9","high reliability","Incidental","place",19280.27603,"watercourse_channel",0.110307799,"Y","Y","Y","Y","N",74,-0.0164000000804663,71,51,48,5,1.27980005741119,0.0059000002220273,0.502703607082367,3.73313164710998,334.500305175781,-8.50030040740967,64.6146011352539,4.38560009002685,5,15.8867998123169
"10","high reliability","Bird transect","place",12573.04606,"road",0.091322031,"N","N","Y","N","N",48,-0.000300000014249235,73,9,42,4,1.10169994831085,0.0129000004380941,0.635875046253204,4.89122676849365,347.376312255859,-14.3762998580933,70.3762969970703,-4.37629985809326,4,17.6466007232666
"11","low reliability","Timed bird census","place",6097.53059,"road",0.010265093,"Y","N","Y","Y","Y",348.799987792969,2.33640003204346,40,30,124,6,2.5327000617981,0.0687000006437302,0.252754420042038,11.0209884643555,263.245086669922,43.7197990417481,62.0158004760742,86.4262008666992,6,11.3290996551514
"12","high reliability","Trap (unspecified)","place",15111.23465,"road",0.010653407,"Y","N","Y","Y","N",79,-0.00329999998211861,56,46,42,18,1.65750002861023,0.00469999993219972,0.562823116779327,4.99727582931519,345.315887451172,-13.315899848938,68.0134963989258,-2.31590008735657,4,16.1194000244141
"13","high reliability","Birds Australia 5km area search","place",622.016119,"road",0.014871025,"N","N","Y","Y","N",145.800003051758,0.00139999995008111,42,50,97,18,1.24590003490448,0.00310000008903444,0.300770938396454,6.67835187911987,322.759704589844,-9.75969982147217,67.6691970825195,22.2402992248535,9,16.2362003326416
"14","high reliability","Camera - Surveillance/Remote","place",10813.50289,"road",0.022139405,"N","N","Y","Y","N",74.5999984741211,0.00260000000707805,56,46,42,18,1.63409996032715,0.0118000004440546,0.759231448173523,5.1960244178772,344.845306396484,-12.8425998687744,67.8415985107422,-2.84159994125366,4,15.8036003112793
